DataSet,Clust_ID,Matching_Clust_ID,Num_Seqs,Num_Seq_wMatch,Madrid,Antwerp,London,BIRMINGHAM,GALICIA,Larnaca,Rome,Sicily,Sampling city_NA,no,yes,Drug naive_NA,SPAIN,BELGIUM,GERMANY,FRANCE,UNITED KINGDOM,GREECE,ITALY,CZECH REPUBLIC,DENMARK,CYPRUS,Country_NA,Male Sex with Male,Heterosexual,IV Drug User,Nosocomial,Risk factor_NA
2,202,"64",5,3,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0
1,64,"202",3,3,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
2,23,"18",3,2,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0
1,18,"23",2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2,208,"49",2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1,49,"208",2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2,5,"5",2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1,5,"5",2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2,219,"9",4,3,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,4,0,0,0,0,0,0,2,1,1,0,0
1,9,"219",3,3,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0
2,178,"25",5,2,0,1,0,0,0,0,0,0,4,1,4,0,0,1,0,0,4,0,0,0,0,0,0,4,1,0,0,0
1,25,"178",2,2,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2,18,"34",2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0
1,34,"18",2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0
2,177,"7",2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1,7,"177",2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2,15,"14",2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1,14,"15",2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2,217,"67",3,2,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0
1,67,"217",2,2,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0
2,12,"29",3,3,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0
1,29,"12",3,3,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0
2,170,"23",12,2,0,0,0,0,0,0,0,0,12,6,6,0,0,0,0,0,12,0,0,0,0,0,0,9,1,2,0,0
1,23,"170",2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2,171,"19",5,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,2,0,0,3,0,0,0,5,0,0,0,0
1,19,"171",3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
2,172,"17",2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1,17,"172",2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2,224,"55",7,2,0,0,0,0,0,0,0,0,7,3,4,0,0,0,0,0,6,0,0,0,0,1,0,2,2,3,0,0
1,55,"224",2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0
2,228,"3",4,2,0,0,0,0,0,1,0,0,3,0,4,0,0,0,0,0,3,0,0,0,0,1,0,3,1,0,0,0
1,3,"228",2,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2,180,"6",4,2,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,4,0,0,0,0,0,0,3,1,0,0,0
1,6,"180",2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0
2,110,"69",4,2,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0
1,69,"110",2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2,80,"24",2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1,24,"80",2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2,86,"45",6,2,0,0,0,0,0,0,0,0,6,5,1,0,0,0,0,0,5,0,0,1,0,0,0,6,0,0,0,0
1,45,"86",2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0
2,87,"30",2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1,30,"87",2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2,67,"70",11,3,0,0,0,0,0,0,0,0,11,6,5,0,0,0,0,0,11,0,0,0,0,0,0,10,1,0,0,0
