** Cluster Picker Results **
Input sequences =	C:\MyDocuments\Clusters\ClusterTutorial\EU3031.fas
Input tree =	C:\MyDocuments\Clusters\ClusterTutorial\EU3031.treeforCPT.nwk
Initial support threshold=	0.9
Support threshold=	0.9
Genetic distance threshold=	0.045
Large cluster threshold=	5
-------------------------
** Sequences with cluster assignment output with new names
** Tree modified to contain new names
** new names have form: Clust(C)_(SequenceName) where C = cluster number, e.g. Clust25_139320
-------------------------
Output sequences =	C:\MyDocuments\Clusters\ClusterTutorial\EU3031_EU3031.treeforCPT_clusterPicks.fas
Output tree=	C:\MyDocuments\Clusters\ClusterTutorial\EU3031.treeforCPT_clusterPicks.nwk
Output figtree=	C:\MyDocuments\Clusters\ClusterTutorial\EU3031.treeforCPT_clusterPicks.nwk.figTree
-------------------------
There are	3031	sequences
Tree has	3031	tips
Found	228	clusters
ClusterNumber	NumberOfTips	NumberOfTipsCheck	TipNames	Bootstrap	GD
1	2	2	[Clust1_B.BE.N2_WEEK_8.FJ653085_2005, Clust1_B.IT.CV631_35_04.GU969473_2004]	0.959	0.037037037037037035
2	2	2	[Clust2_B.GB.97074.JN101655_2006, Clust2_B.GB.97605.JN101259_2005]	0.995	0.025025025025025027
3	2	2	[Clust3_B.ES.04SP0173829.FJ481751_2004, Clust3_B.GB.86545.JN100700_1997]	0.958	0.03003003003003003
4	2	2	[Clust4_B.GB.80925.JN101837_2004, Clust4_B.GB.93534.JN100747_2005]	0.934	0.04104104104104104
5	2	2	[Clust5_B.GB.72086.JN100900_2001, Clust5_B.GB.74246.JN100899_1997]	0.912	0.04104104104104104
6	2	2	[Clust6_B.GB.68047.JN100697_1999, Clust6_B.GB.87063.JN101128_2007]	0.975	0.028028028028028028
7	2	2	[Clust7_B.GB.66892.JN101195_2005, Clust7_B.GB.93317.JN101546_2004]	1.0	0.01901901901901902
8	2	2	[Clust8_B.GB.80997.JN101234_2006, Clust8_B.GB.91241.JN101817_2004]	0.999	0.024024024024024024
9	2	2	[Clust9_B.GB.80651.JN101697_2004, Clust9_B.DK.4_bPI_failure.AM933275_2000]	0.931	0.03803803803803804
10	2	2	[Clust10_B.GB.88797.JN101411_2005, Clust10_B.GB.89930.JN101477_2002]	0.985	0.03803803803803804
11	2	2	[Clust11_B.CY.CY177.EU673408_2006, Clust11_B.GB.91796.JN101853_2004]	1.0	0.015015015015015015
12	3	3	[Clust12_B.IT.58MUS.EU496238_2001, Clust12_B.GB.66582.JN101213_1998, Clust12_B.GB.81580.JN101293_1998]	0.996	0.035035035035035036
13	2	2	[Clust13_B.GB.74088.JN101268_2002, Clust13_B.GB.96982.JN101638_2004]	0.999	0.01901901901901902
14	2	2	[Clust14_B.GB.85804.JN100926_2006, Clust14_B.GB.MM43d368_GN1.HM586209_2005]	1.0	0.005005005005005005
15	2	2	[Clust15_B.GB.86548.JN101591_1997, Clust15_B.GB.80473.JN100941_1999]	0.904	0.02902902902902903
16	2	2	[Clust16_B.CY.CY055.FJ388904_2005, Clust16_B.CY.CY075.FJ388916_2005]	0.976	0.024024024024024024
17	2	2	[Clust17_B.GB.81038.JN101703_2006, Clust17_B.GB.89689.JN101584_2006]	0.997	0.02902902902902903
18	2	2	[Clust18_B.GB.78918.JN100676_1997, Clust18_B.GB.88379.JN101511_2002]	0.999	0.02002002002002002
19	3	3	[Clust19_B.GB.clD_s42_n_y05.EU817088_2005, Clust19_B.GB.clD_s40_n_y05.EU817086_2005, Clust19_B.GB.clD_s41_n_y05.EU817087_2005]	1.0	0.016016016016016016
20	2	2	[Clust20_B.ES.04SP0224137.FJ481736_2004, Clust20_B.ES.05SP0224155.FJ481790_2005]	0.996	0.04004004004004004
21	3	3	[Clust21_B.IT.CV961_31_06.GU969492_2006, Clust21_B.IT.CV1080_12_07.GU969498_2007, Clust21_B.IT.CV962_34_06.GU969493_2006]	0.999	0.044044044044044044
22	2	2	[Clust22_B.GB.89775.JN101170_2006, Clust22_B.GB.98897.JN100736_2000]	0.928	0.044044044044044044
23	3	3	[Clust23_B.GB.89250.JN100855_2000, Clust23_B.GB.87614.JN100698_2007, Clust23_B.GB.99800.JN101479_1997]	0.988	0.036036036036036036
24	2	2	[Clust24_B.GB.79588.JN101242_2003, Clust24_B.GB.97145.JN101650_2005]	0.999	0.016016016016016016
25	2	2	[Clust25_B.GB.79908.JN101876_2004, Clust25_B.GB.90204.JN101140_2003]	0.992	0.025025025025025027
26	4	4	[Clust26_B.GB.79498.JN101277_2005, Clust26_B.GB.81206.JN101183_2007, Clust26_B.GB.93602.JN100929_2006, Clust26_B.GB.86662.JN100897_2005]	1.0	0.043043043043043044
27	2	2	[Clust27_B.ES.X2231.EU786680_2007, Clust27_B.ES.X2400-3.FJ670524_2008]	1.0	0.004004004004004004
28	2	2	[Clust28_B.GB.74835.JN100678_2005, Clust28_B.GB.86939.JN101378_2003]	0.999	0.037037037037037035
29	2	2	[Clust29_B.CY.CY198.JF683750_2007, Clust29_B.GB.78060.JN100914_2004]	0.962	0.021021021021021023
30	5	5	[Clust30_B.CZ.74936PL9.AY694378_2000, Clust30_B.CZ.SL10243PL10.AY694335_2000, Clust30_B.CZ.87914PL1.AY694382_2000, Clust30_B.CZ.83862PL1.AY694278_2000, Clust30_B.CZ.85459PL1.AY694271_2000]	1.0	0.03003003003003003
31	2	2	[Clust31_B.GB.71869.JN101092_2004, Clust31_B.GB.93234.JN100842_2005]	1.0	0.028028028028028028
32	2	2	[Clust32_B.CZ.82729PL1.AY694293_2000, Clust32_B.CZ.86543PL1.AY694321_2001]	0.999	0.013013013013013013
33	5	5	[Clust33_B.ES.05SP0243938.FJ481768_2005, Clust33_B.GB.clC_s36_n_y02.EU817085_2002, Clust33_B.GB.clC_s37_n_y05.EU817083_2005, Clust33_B.GB.clC_s38_n_y05.EU817084_2005, Clust33_B.GB.clC_s39_n_y05.EU817082_2005]	0.993	0.04004004004004004
34	2	2	[Clust34_B.GB.68118.JN101727_2004, Clust34_B.GB.95978.JN101160_2005]	0.998	0.013013013013013013
35	2	2	[Clust35_B.GB.95587.JN100752_2004, Clust35_B.GB.98606.JN101031_2002]	0.999	0.023023023023023025
36	2	2	[Clust36_B.GB.83663.JN101602_2006, Clust36_B.GB.92257.JN101451_2007]	1.0	0.006006006006006006
37	3	3	[Clust37_B.GB.82468.JN101683_2000, Clust37_B.GB.68494.JN101745_2005, Clust37_B.GB.68717.JN101299_2004]	0.991	0.02702702702702703
38	3	3	[Clust38_B.GB.85993.JN101687_2003, Clust38_B.GB.66824.JN101487_2005, Clust38_B.GB.89876.JN101349_2005]	0.937	0.036036036036036036
39	2	2	[Clust39_B.GB.73610.JN101808_1997, Clust39_B.GB.84211.JN101629_2005]	0.975	0.037037037037037035
40	2	2	[Clust40_B.GB.79744.JN101337_2005, Clust40_B.GB.88559.JN101685_2006]	0.971	0.025025025025025027
41	2	2	[Clust41_B.GB.89612.JN101892_2006, Clust41_B.GB.90972.JN101051_2004]	0.94	0.02902902902902903
42	3	3	[Clust42_B.GB.80583.JN100791_2000, Clust42_B.GB.69313.JN101816_2004, Clust42_B.GB.99725.JN101480_2006]	0.969	0.035035035035035036
43	2	2	[Clust43_B.GB.100243.JN101905_2005, Clust43_B.GB.96279.JN101604_2005]	0.999	0.021021021021021023
44	2	2	[Clust44_B.GB.84710.JN100911_2000, Clust44_B.GB.97425.JN100776_2003]	0.999	0.021021021021021023
45	2	2	[Clust45_B.GB.91351.JN100798_2000, Clust45_B.GB.98260.JN101870_2001]	0.954	0.03403403403403404
46	2	2	[Clust46_B.GB.76481.JN100664_2002, Clust46_B.GB.79955.JN100895_2006]	1.0	0.016016016016016016
47	2	2	[Clust47_B.GB.75879.JN100959_2006, Clust47_B.GB.MM42d324_GN1.HM586204_2005]	0.996	0.015015015015015015
48	2	2	[Clust48_B.GB.70157.JN100967_2007, Clust48_B.GB.77203.JN100980_2005]	0.968	0.011011011011011011
49	3	3	[Clust49_B.ES.04SP0224129.FJ481744_2004, Clust49_B.ES.P2021-3.FJ853620_2008, Clust49_B.ES.05SP0243936.FJ481803_2005]	0.999	0.036036036036036036
50	2	2	[Clust50_B.GB.82519.JN101648_2005, Clust50_B.GB.87436.JN100860_2005]	1.0	0.01001001001001001
51	3	3	[Clust51_B.GB.92994.JN100762_2007, Clust51_B.GB.71435.JN101658_2001, Clust51_B.GB.95500.JN100856_2002]	1.0	0.025025025025025027
52	5	5	[Clust52_B.ES.06SP375981.FJ481724_2004, Clust52_B.GB.78259.JN101664_2006, Clust52_B.GB.73798.JN101733_2006, Clust52_B.GB.66323.JN101240_2006, Clust52_B.GB.74805.JN100993_2006]	0.996	0.043043043043043044
53	2	2	[Clust53_B.GB.75435.JN101934_2006, Clust53_B.GB.94448.JN101506_2006]	0.998	0.015015015015015015
54	4	4	[Clust54_B.ES.06SP0303028.FJ481820_2006, Clust54_B.ES.05SP0256086.FJ481778_2005, Clust54_B.ES.05SP0249432.FJ481764_2005, Clust54_B.ES.06SP0321473.FJ481861_2006]	0.993	0.037037037037037035
55	2	2	[Clust55_B.ES.06SP0321478.FJ481857_2006, Clust55_B.GB.83481.JN100828_2004]	1.0	0.026026026026026026
56	2	2	[Clust56_B.BE.M24.DQ061388_1996, Clust56_B.GB.96768.JN100825_1999]	0.945	0.031031031031031032
57	2	2	[Clust57_B.GB.67691.JN100717_2006, Clust57_B.GB.71420.JN101169_2002]	1.0	0.01001001001001001
58	2	2	[Clust58_B.IT.CV910_RI_05.GU969475_2005, Clust58_B.IT.CV911_RI_05.GU969476_2005]	0.932	0.035035035035035036
59	5	5	[Clust59_B.GB.78819.JN101134_2006, Clust59_B.GB.67806.JN101768_2006, Clust59_B.GB.85950.JN100949_2006, Clust59_B.GB.67690.JN101153_2005, Clust59_B.GB.80753.JN101565_2006]	0.99	0.03803803803803804
60	2	2	[Clust60_B.GB.78854.JN101529_2006, Clust60_B.GB.93918.JN101125_2003]	1.0	0.03303303303303303
61	2	2	[Clust61_B.CZ.80110PL7.AY694323_2001, Clust61_B.CZ.83315PL1.AY694284_2000]	0.988	0.028028028028028028
62	2	2	[Clust62_B.GB.89045.JN101581_2006, Clust62_B.IT.ZRDE_06.FJ228136_2006]	0.992	0.03003003003003003
63	2	2	[Clust63_B.GB.86375.JN100912_2006, Clust63_B.GB.93915.JN101681_2006]	0.973	0.02702702702702703
64	2	2	[Clust64_B.GB.88238.JN100934_2005, Clust64_B.GB.89485.JN101784_2004]	1.0	0.007007007007007007
65	2	2	[Clust65_B.GB.84713.JN101135_2006, Clust65_B.GB.88190.JN101464_2006]	1.0	0.003003003003003003
66	2	2	[Clust66_B.GB.B4-bp1.AF494110_1998, Clust66_B.GB.C198.AF494111_1998]	0.912	0.01001001001001001
67	11	11	[Clust67_B.GB.99681.JN101492_2005, Clust67_B.GB.73733.JN100702_2004, Clust67_B.GB.76784.JN101000_2000, Clust67_B.GB.88278.JN101928_2005, Clust67_B.GB.87532.JN101089_2003, Clust67_B.GB.90653.JN101465_2003, Clust67_B.GB.100215.JN101585_2006, Clust67_B.GB.91074.JN101860_2006, Clust67_B.GB.70017.JN101347_2005, Clust67_B.GB.75726.JN100864_2004, Clust67_B.GB.89166.JN100726_2005]	0.971	0.042042042042042045
68	2	2	[Clust68_B.GB.79271.JN101525_2002, Clust68_B.GB.79911.JN101167_1999]	0.912	0.03803803803803804
69	2	2	[Clust69_B.GB.90217.JN101012_2006, Clust69_B.GB.93593.JN101223_2004]	0.995	0.02902902902902903
70	2	2	[Clust70_B.GB.1182_48_8009_20030506.DQ879054_2003, Clust70_B.GB.71670.JN101435_2002]	0.965	0.037037037037037035
