** Cluster Picker Results **
Input sequences =	C:\Users\Samantha Lycett\Documents\manuscripts\cluster_picker\referee_response\to_release\seasonal_flu\h3n2_1027.fas
Input tree =	C:\Users\Samantha Lycett\Documents\manuscripts\cluster_picker\referee_response\to_release\seasonal_flu\h3n2_1027_beast_mcc.tre.posterior.nwk
Initial support threshold=	0.7
Support threshold=	0.7
Genetic distance threshold=	0.02
Large cluster threshold=	10
-------------------------
** Sequences with cluster assignment output with new names
** Tree modified to contain new names
** new names have form: Clust(C)_(SequenceName) where C = cluster number, e.g. Clust25_139320
-------------------------
Output sequences =	C:\Users\Samantha Lycett\Documents\manuscripts\cluster_picker\referee_response\to_release\seasonal_flu\h3n2_1027_h3n2_1027_beast_mcc.tre.posterior_clusterPicks.fas
Output tree=	C:\Users\Samantha Lycett\Documents\manuscripts\cluster_picker\referee_response\to_release\seasonal_flu\h3n2_1027_beast_mcc.tre.posterior_clusterPicks.nwk
Output figtree=	C:\Users\Samantha Lycett\Documents\manuscripts\cluster_picker\referee_response\to_release\seasonal_flu\h3n2_1027_beast_mcc.tre.posterior_clusterPicks.nwk.figTree
-------------------------
There are	1027	sequences
Tree has	1027	tips
Found	93	clusters
ClusterNumber	NumberOfTips	NumberOfTipsCheck	TipNames	Bootstrap	GD
1	13	13	[A/Hong_Kong/HKU10/2004, A/Hong_Kong/HKU3/2004, A/Hong_Kong/HKU8/2004, A/Malaysia/29997/2004, A/Hong_Kong/HKU12/2004, A/Hong_Kong/CUHK6554/2004, A/HaNoi/HN30110/2004, A/Missouri/NHRC0002/2004, A/Hong_Kong/HKU2/2004, A/New_York/33/2004, A/Georgia/NHRC0001/2004, A/New_York/10/2004, A/New_York/5/2004]	0.9983358	0.011757789535567314
2	22	22	[A/Hong_Kong/HKU28/2004, A/Hong_Kong/HKU21/2004, A/Hong_Kong/HKU19/2004, A/Hong_Kong/HKU30/2004, A/Hong_Kong/CUHK35013/2004, A/Hong_Kong/CUHK33677/2004, A/Hong_Kong/HKU34/2004, A/Hong_Kong/CUHK6422/2005, A/Hong_Kong/CUHK7546/2005, A/Hong_Kong/HKU38/2004, A/Hong_Kong/CUHK6898/2005, A/Hong_Kong/CUHK7221/2005, A/Hong_Kong/HKU40/2004, A/Hong_Kong/HKU42/2005, A/Hong_Kong/CUHK53726/2004, A/Canterbury/200/2004, A/Hong_Kong/HKU25/2004, A/Hong_Kong/HKU31/2004, A/Hong_Kong/CUHK33851/2004, A/Western_Australia/55/2004, A/Queensland/42/2004, A/Western_Australia/58/2004]	0.8319118	0.01646090534979424
3	6	6	[A/Taiwan/9/2004, A/Hong_Kong/HKU11/2004, A/Hong_Kong/CUHK24289/2004, A/Hong_Kong/HKU4/2004, A/Hong_Kong/CUHK21164/2004, A/Hong_Kong/CUHK13126/2004]	1.0	0.004703115814226925
4	11	11	[A/Thailand/Siriraj-03/2004, A/NamDinh/HN30119/2004, A/Hong_Kong/HKU18/2004, A/Hong_Kong/CUHK35117/2004, A/Hong_Kong/HKU15/2004, A/Hong_Kong/CUHK33894/2004, A/Wellington/6/2004, A/Christchurch/15/2004, A/Hong_Kong/HKU22/2004, A/Malaysia/29197/2004, A/HaNoi/HN30147/2004]	1.0	0.006466784244562022
5	3	3	[A/New_York/392/2004, A/New_York/243/2005, A/New_York/387/2004]	1.0	0.005291005291005291
6	7	7	[A/Malaysia/28114/2004, A/Malaysia/29242/2004, A/Malaysia/29350/2004, A/Malaysia/29890/2004, A/Waikato/21/2004, A/Malaysia/NHRC0002/2004, A/Malaysia/NHRC0001/2004]	0.9812773	0.005291005291005291
7	2	2	[A/Christchurch/10/2004, A/Wellington/4/2004]	1.0	0.0011757789535567313
8	3	3	[A/Western_Australia/65/2005, A/Malaysia/28991/2004, A/Waikato/1/2005]	1.0	0.005878894767783657
9	5	5	[A/Malaysia/29361/2004, A/Wellington/58/2004, A/Canterbury/104/2004, A/Wellington/14/2004, A/Malaysia/29711/2004]	1.0	0.0029394473838918285
10	27	27	[A/TayNguyen/TN393/2005, A/California/NHRC0002/2005, A/Netherlands/42/2006, A/Hong_Kong/HKU44/2005, A/New_York/UR06-0515/2007, A/Delaware/13/2007, A/Canterbury/16/2005, A/Australia/NHRC0001/2005, A/New_Jersey/NHRC0001/2005, A/Canterbury/256/2005, A/Western_Australia/66/2005, A/Western_Australia/74/2005, A/Waikato/15/2005, A/Canterbury/253/2005, A/Otago/4/2005, A/Wellington/8/2005, A/Canterbury/64/2005, A/Australia/NHRC0013/2005, A/Australia/NHRC0012/2005, A/Western_Australia/68/2005, A/Wellington/5/2005, A/Waikato/9/2005, A/Canterbury/270/2005, A/Waikato/12/2005, A/Wellington/4/2005, A/Auckland/617/2005, A/Malaysia/29930/2004]	1.0	0.015285126396237508
