** Cluster Picker Results **
Input sequences =	C:\Users\Manon\Documents\Project\CPT_Write-up\ClusterTutorial\EU1866.fas
Input tree =	C:\Users\Manon\Documents\Project\CPT_Write-up\ClusterTutorial\EU1866.treeforCPT.nwk
Initial support threshold=	0.9
Support threshold=	0.9
Genetic distance threshold=	0.045
Large cluster threshold=	5
-------------------------
** Sequences with cluster assignment output with new names
** Tree modified to contain new names
** new names have form: Clust(C)_(SequenceName) where C = cluster number, e.g. Clust25_139320
-------------------------
Output sequences =	C:\Users\Manon\Documents\Project\CPT_Write-up\ClusterTutorial\EU1866_EU1866.treeforCPT_clusterPicks.fas
Output tree=	C:\Users\Manon\Documents\Project\CPT_Write-up\ClusterTutorial\EU1866.treeforCPT_clusterPicks.nwk
Output figtree=	C:\Users\Manon\Documents\Project\CPT_Write-up\ClusterTutorial\EU1866.treeforCPT_clusterPicks.nwk.figTree
-------------------------
There are	1866	sequences
Tree has	1866	tips
Found	71	clusters
ClusterNumber	NumberOfTips	NumberOfTipsCheck	TipNames	Bootstrap	GD
1	2	2	[B.GB.1182_48_8095_20030909.DQ879092_2003, B.GB.80597.JN101915_1998]	0.998	0.01901901901901902
2	2	2	[B.CZ.82729PL1.AY694293_2000, B.CZ.86543PL1.AY694321_2001]	1.0	0.013013013013013013
3	2	2	[B.GB.67444.JN101626_1999, B.GB.73199.JN101836_2002]	1.0	0.015015015015015015
4	2	2	[B.GB.78956.JN100840_1998, B.GB.93301.JN101878_2002]	0.926	0.03003003003003003
5	2	2	[B.GB.72086.JN100900_2001, B.GB.74246.JN100899_1997]	0.984	0.04104104104104104
6	2	2	[B.GB.77754.JN101198_1999, B.GB.79261.JN100976_2003]	1.0	0.02002002002002002
7	2	2	[B.GB.81423.JN100924_2002, B.GB.99418.JN100857_2003]	0.973	0.03403403403403404
8	2	2	[B.BE.VI2681.DQ177234_2002, B.GB.94777.JN101269_1998]	0.975	0.035035035035035036
9	3	3	[B.GB.98050.JN101673_2003, B.GB.79862.JN101284_2001, B.GB.67817.JN100938_2000]	0.917	0.043043043043043044
10	2	2	[B.BE.Q34.DQ061392_1997, B.IT.56MUS.EU496236_2001]	0.904	0.026026026026026026
11	3	3	[B.GB.90699.JN101771_2003, B.GB.77726.JN101793_2002, B.GB.81527.JN101079_2003]	1.0	0.025025025025025027
12	5	5	[B.CZ.74936PL9.AY694378_2000, B.CZ.SL10243PL10.AY694335_2000, B.CZ.87914PL1.AY694382_2000, B.CZ.83862PL1.AY694278_2000, B.CZ.85459PL1.AY694271_2000]	0.993	0.03003003003003003
13	2	2	[B.GB.86642.JN101637_2002, B.GB.92422.JN101343_2001]	0.902	0.03903903903903904
14	2	2	[B.GB.80473.JN100941_1999, B.GB.86548.JN101591_1997]	0.953	0.02902902902902903
15	2	2	[B.GB.67364.JN100826_2003, B.GB.98778.JN100725_1997]	0.997	0.015015015015015015
16	2	2	[B.GB.81432.JN101725_2000, B.GB.93296.JN101060_2001]	0.919	0.035035035035035036
17	2	2	[B.GB.75429.JN100795_2002, B.GB.96540.JN101434_2001]	0.93	0.035035035035035036
18	2	2	[B.GB.89250.JN100855_2000, B.GB.99800.JN101479_1997]	0.99	0.024024024024024024
19	3	3	[B.CZ.85600PL1.AY694273_2000, B.CZ.85522PL1.AY694281_2000, B.CZ.85534PL1.AY694272_2000]	1.0	0.002002002002002002
20	2	2	[B.GB.117850.AY362171_1999, B.GB.GB8_46R.AJ271445_1986]	0.907	0.04104104104104104
21	2	2	[B.GB.73675.JN101181_2001, B.GB.85208.JN101510_1997]	0.993	0.04104104104104104
22	2	2	[B.GB.89544.JN100806_2002, B.GB.99354.JN101168_2003]	1.0	0.006006006006006006
