** Cluster Picker Results **
Input sequences =	C:\Users\Manon\Documents\Project\CPT_Write-up\BMCcorrections\HCV\HCV_1b_3876.fas
Input tree =	C:\Users\Manon\Documents\Project\CPT_Write-up\BMCcorrections\HCV\HCV3876.nwk
Initial support threshold=	70.0
Support threshold=	70.0
Genetic distance threshold=	0.02
Large cluster threshold=	2147483647
-------------------------
** Sequences with cluster assignment output with new names
** Tree modified to contain new names
** new names have form: Clust(C)_(SequenceName) where C = cluster number, e.g. Clust25_139320
-------------------------
Output sequences =	C:\Users\Manon\Documents\Project\CPT_Write-up\BMCcorrections\HCV\HCV_1b_3876_HCV3876_clusterPicks.fas
Output tree=	C:\Users\Manon\Documents\Project\CPT_Write-up\BMCcorrections\HCV\HCV3876_clusterPicks.nwk
Output figtree=	C:\Users\Manon\Documents\Project\CPT_Write-up\BMCcorrections\HCV\HCV3876_clusterPicks.nwk.figTree
-------------------------
There are	3876	sequences
Tree has	3876	tips
Found	144	clusters
ClusterNumber	NumberOfTips	NumberOfTipsCheck	TipNames	Bootstrap	GD
1	2	2	[EF652796, EF652799]	88.0	0.008726003490401396
2	14	14	[EF652702, EF652709, EF652723, EF652698, EF652712, EF652720, EF652710, EF652701, EF652728, EF652721, EF652708, EF652719, EF652705, EF652715]	71.0	0.010471204188481676
3	2	2	[EF652722, EF652714]	78.0	0.0034904013961605585
4	3	3	[EF652797, EF652800, EF652798]	73.0	0.008726003490401396
5	2	2	[KC118303, KC118301]	89.0	0.0034904013961605585
6	14	14	[AM262483, AM262482, AM262488, AM262491, AM262480, AM262492, AM262484, AM262486, AM262493, AM262485, AM262487, AM262489, AM262490, AM262481]	85.0	0.012216404886561954
7	7	7	[AY587359, AY587353, AY587357, AY587352, AY587356, AY587354, AY587364]	93.0	0.008726003490401396
8	6	6	[AM262469, AM262473, AM262477, AM262474, AM262471, AM262478]	77.0	0.012216404886561954
9	6	6	[AM262472, AM262467, AM262479, AM262468, AM262475, AM262476]	85.0	0.008726003490401396
10	2	2	[KC143930, KC143928]	95.0	0.0034904013961605585
11	8	8	[EF652754, EF652751, EF652757, EF652756, EF652758, EF652753, EF652750, EF652759]	81.0	0.013961605584642234
